uni_id,name,url,member,region,country,country_is_bucket,country_rank_eligible,notice_date_future,http_status,page_lang,switched_to_english,fetched_at,load_time_s,a01_logo,a02_primary_nav,a03_nav_item_count,a04_search_bar,a05_language_toggle,a06_breadcrumb,a07_qs_badge,a09_national_rank,a11_accreditation,a12_accred_count,a13_achievements,a14_stats_block,a15_stat_item_count,a16_notice_board,a17_notice_timestamp,a18_recent_notice_date,a20_news_events,a21_calendar_link,a22_admission_notice,a23_upcoming_events,a24_event_count,a25_event_images,a26_event_captions,a27_event_datetime,a28_contests,a29_video_content,a30_image_gallery,a31_social_feed_embed,a32_vision_mission,a33_about_blurb,a34_department_links,a35_faculty_link,a36_research_highlight,a37_programs_listing,a38_scholarship,a39_library_link,a40_career_link,a41_alumni_link,a42_faq_link,a43_contact_link,a44_student_portal,a45_prospectus,a46_admissions_policy,a47_footer_contact,a48_footer_sitemap,a49_copyright_line,a50_social_links,a51_quick_links,a53_contrast_ratio,a54_banner_carousel,a57_logo_prominence,a58_live_chat,a59_feedback_form,a60_trust_seal,a61_testimonials,a63_mobile_score,a65_https,a66_broken_links,a67_gzip,a69_title_meta,a70_favicon,a71_sitemap_robots,a72_alt_text_pct,a73_accessible_design,a74_a11y_toggle,a75_bookmark,notice_recency_days,notice_evidence,event_evidence,load_time_z_region,load_time_pct_region,broken_links_w,broken_links_log,broken_links_present,mobile_ordinal,nav_quality,a18_missing,a72_missing,a53_missing,content_completeness_B5,footer_completeness_B6,a11y_completeness_B11,seo_completeness_B10,nav_completeness_B1,events_completeness_B4,service_completeness_B8
1001,Harvard University,https://www.harvard.edu,M1,North America,United States,0,1,0,200,en-us,False,2026-08-11T11:13:32+00:00,3.19,1,1,1,1,0,0,0,0,1,1,1,0,0,1,0,,1,0,1,1,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,15.13,1,0,0,0,0,0,90,1,0,1,1,1,1,76.2,1,1,0,3650.0,1,1,-1.5310999853732092,0.02512562814070352,0,0.0,0,12,0.15,1,0,0,0.8,0.6,0.6666666666666666,1.0,0.6,0.5,0.0
1002,Massachusetts Institute of Technology,https://www.mit.edu,M1,North America,United States,0,1,0,200,en,False,2026-08-11T11:13:36+00:00,1.793,0,1,11,1,0,0,0,0,0,0,0,0,0,0,1,2026-08-11,1,0,1,1,1,1,1,0,1,0,0,0,1,1,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,21.0,0,0,0,0,1,0,75,1,0,1,0,1,1,100.0,1,1,0,0.0,3,2,-1.8226437441121222,0.005025125628140704,0,0.0,0,9,0.8533333333333334,0,0,0,0.5333333333333333,0.4,0.6666666666666666,0.6666666666666666,0.4,0.5,0.25
1003,Stanford University,https://www.stanford.edu,M1,North America,United States,0,1,0,200,en,False,2026-08-11T11:13:49+00:00,10.363,0,1,4,1,0,0,0,0,1,1,1,0,0,0,1,2026-08-06,1,0,1,1,11,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,18.88,1,0,0,0,0,0,100,1,0,1,1,1,1,100.0,1,1,0,5.0,3,3,-0.03414695642959921,0.5376884422110553,0,0.0,0,13,0.85,0,0,0,0.8,0.4,0.6666666666666666,1.0,0.4,0.875,0.0
1004,Yale University,https://www.yale.edu,M1,North America,United States,0,1,0,200,en,False,2026-08-11T11:13:54+00:00,3.724,1,1,4,1,0,0,0,0,0,0,1,0,0,0,1,2026-08-06,1,1,1,0,5,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,21.0,1,1,0,0,0,0,100,1,0,1,1,1,0,30.8,1,1,0,5.0,3,1,-1.4196580618466668,0.04020100502512563,0,0.0,0,13,0.85,0,0,0,0.8,0.4,0.6666666666666666,0.6666666666666666,0.6,0.5,0.0
1005,Princeton University,https://www.princeton.edu,M1,North America,United States,0,1,0,200,en,False,2026-08-11T11:13:58+00:00,2.319,1,1,0,1,0,0,0,0,1,1,1,0,1,1,1,2026-08-06,1,1,1,1,0,1,1,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,8.86,1,0,0,0,0,0,90,1,0,1,1,1,1,87.5,1,1,0,5.0,3,1,-1.7128713625110712,0.01507537688442211,0,0.0,0,12,0.0,0,0,0,0.7333333333333333,0.8,0.6666666666666666,1.0,0.6,0.5,0.0
1006,Columbia University,https://www.columbia.edu,M1,North America,United States,0,1,1,200,en,False,2026-08-11T11:14:05+00:00,4.784,1,1,7,1,0,0,0,0,0,0,1,1,6,1,1,2026-12-29,1,1,1,1,20,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,7.02,1,1,1,0,0,0,75,1,0,1,0,1,0,98.2,1,1,0,0.0,3,3,-1.1984437567190735,0.08542713567839195,0,0.0,0,9,1.0,0,0,0,0.8,0.6,0.6666666666666666,0.3333333333333333,0.6,0.75,0.25
1007,University of Chicago,https://www.uchicago.edu,M1,North America,United States,0,1,0,200,en,False,2026-08-11T11:14:18+00:00,10.527,1,1,4,1,0,0,0,0,1,1,0,0,0,0,0,,1,1,1,1,4,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,0,1,1,1,8.45,1,1,1,0,0,0,75,1,0,1,1,1,1,100.0,1,1,0,3650.0,0,2,7.865304297176274e-05,0.5829145728643216,0,0.0,0,9,0.85,1,0,0,0.7333333333333333,0.8,0.6666666666666666,1.0,0.6,0.5,0.25
1008,University of Pennsylvania,https://www.upenn.edu,M1,North America,United States,0,1,1,200,en,False,2026-08-11T11:14:29+00:00,8.758,1,1,6,1,0,0,0,0,0,0,1,1,3,1,1,2026-08-25,1,0,1,1,11,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,21.0,1,0,0,0,0,0,100,1,0,1,1,1,1,100.0,1,1,0,0.0,3,3,-0.36909880523128535,0.31155778894472363,0,0.0,0,13,1.0,0,0,0,0.8666666666666667,0.8,0.6666666666666666,1.0,0.6,0.625,0.0
1009,California Institute of Technology,https://www.caltech.edu,M1,North America,Canada,0,1,1,200,en,False,2026-08-11T11:14:34+00:00,3.399,1,1,8,1,0,0,0,1,0,0,1,0,0,1,1,2026-08-27,1,1,1,1,14,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,12.63,1,1,0,0,0,0,100,1,0,1,1,1,1,90.5,1,1,0,0.0,3,2,-1.4874832025697495,0.03015075376884422,0,0.0,0,13,1.0,0,0,0,0.8,0.4,0.6666666666666666,1.0,0.6,0.625,0.0
1010,Cornell University,https://www.cornell.edu,M1,North America,United States,0,1,0,200,en,False,2026-08-11T11:14:47+00:00,10.283,1,1,1,1,0,0,0,0,0,0,1,1,5,0,1,,1,1,1,1,6,0,0,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1,1,1,13.39,1,1,0,0,0,0,50,1,0,1,1,1,1,65.6,1,1,0,3650.0,1,3,-0.05084237568451192,0.5226130653266332,0,0.0,0,5,0.15,1,0,0,0.7333333333333333,0.6,0.6666666666666666,1.0,0.6,0.5,0.0
